time: 1.217765905894339, epoch: 0, val loss: 0.53525103363595
time: 2.217136309016496, epoch: 1, val loss: 0.5367100745321733
time: 3.2102515280712396, epoch: 2, val loss: 0.5367985050904421
time: 4.206928926985711, epoch: 3, val loss: 0.5368132882203038
time: 5.201137753902003, epoch: 4, val loss: 0.5367987014559418
time: 6.196942569920793, epoch: 5, val loss: 0.5368141546079763
time: 7.191635413095355, epoch: 6, val loss: 0.5368094033167767
time: 8.29556305706501, epoch: 7, val loss: 0.5368047722950283
time: 9.292213355889544, epoch: 8, val loss: 0.5367993046879297
time: 10.286089008906856, epoch: 9, val loss: 0.5367912749056759
time: 11.279696288052946, epoch: 10, val loss: 0.5367769409309734
time: 12.274325693026185, epoch: 11, val loss: 0.536737998719272
time: 13.268616352928802, epoch: 12, val loss: 0.5364421471776698
time: 14.268994242884219, epoch: 13, val loss: 0.5293637412810043
time: 15.268863108940423, epoch: 14, val loss: 0.4534101049183857
time: 16.26841145590879, epoch: 15, val loss: 0.24119929704270343
time: 17.266092064091936, epoch: 16, val loss: 0.157714071127737
time: 18.263845769921318, epoch: 17, val loss: 0.15497807445733444
time: 19.26671620691195, epoch: 18, val loss: 0.15464685960367264
time: 20.26555957295932, epoch: 19, val loss: 0.15698563145554584
time: 21.260196632007137, epoch: 20, val loss: 0.15450205382975665
time: 22.376734371995553, epoch: 21, val loss: 0.15768216785941672
time: 23.372909541008994, epoch: 22, val loss: 0.15482037381927957
time: 24.366294184001163, epoch: 23, val loss: 0.1547032118197015
time: 25.359760399907827, epoch: 24, val loss: 0.15835662115468338
time: 26.4606880559586, epoch: 25, val loss: 0.1546232066017837
time: 27.45550738601014, epoch: 26, val loss: 0.1551161514440544
time: 28.449613430071622, epoch: 27, val loss: 0.15494811941276898
time: 29.44417897495441, epoch: 28, val loss: 0.16372333243194775
time: 30.437008168082684, epoch: 29, val loss: 0.1544378457568851
time: 31.43912238907069, epoch: 30, val loss: 0.1577146615199892
time: 32.43477676296607, epoch: 31, val loss: 0.1563942990755375
time: 33.520427057985216, epoch: 32, val loss: 0.15535090021465137
time: 34.51762886997312, epoch: 33, val loss: 0.16304342760870108
time: 35.51335722208023, epoch: 34, val loss: 0.15476912925601477
time: 36.50762640195899, epoch: 35, val loss: 0.15632210542326389
time: 37.50187843898311, epoch: 36, val loss: 0.15483295228405902
time: 38.59912814688869, epoch: 37, val loss: 0.15850342185836536
time: 39.59394369809888, epoch: 38, val loss: 0.15524484611782632
time: 40.5929553010501, epoch: 39, val loss: 0.15455248192129398
time: 41.58674118597992, epoch: 40, val loss: 0.16336014372086807
time: 42.580868581077084, epoch: 41, val loss: 0.15552365405875232
time: 43.57473432691768, epoch: 42, val loss: 0.1597919875218463
time: 44.56876597297378, epoch: 43, val loss: 0.15598291865450592
time: 45.65521468105726, epoch: 44, val loss: 0.15440962331097116
time: 46.65628045098856, epoch: 45, val loss: 0.1586232186541727
time: 47.655834349105135, epoch: 46, val loss: 0.15591921448236398
time: 48.65183492307551, epoch: 47, val loss: 0.15484163939599463
time: 49.648424478946254, epoch: 48, val loss: 0.15712908069371234
time: 50.75134057807736, epoch: 49, val loss: 0.15487142820132108
time: 51.74995273305103, epoch: 50, val loss: 0.15507289814383615
time: 52.74600156606175, epoch: 51, val loss: 0.160683548615384
time: 53.7427401219029, epoch: 52, val loss: 0.15517187731068124
time: 54.73923772596754, epoch: 53, val loss: 0.15631866290164087
time: 55.73532288800925, epoch: 54, val loss: 0.16235119575568338
time: 56.72932560998015, epoch: 55, val loss: 0.15464571200811816
time: 57.83224818110466, epoch: 56, val loss: 0.15704544118270572
time: 58.82975175906904, epoch: 57, val loss: 0.15465416980119562
time: 59.84057386103086, epoch: 58, val loss: 0.1632154644006797
time: 60.83471095492132, epoch: 59, val loss: 0.15968433287539502
time: 61.828764070989564, epoch: 60, val loss: 0.15902668296584027
time: 62.90683319605887, epoch: 61, val loss: 0.15742178190602615
time: 63.903047289000824, epoch: 62, val loss: 0.16183078289031982
time: 64.8977666029241, epoch: 63, val loss: 0.16129259847605182
time: 65.89698752691038, epoch: 64, val loss: 0.15477517883297012
time: 66.89070982392877, epoch: 65, val loss: 0.15461954521567453
time: 67.88583414605819, epoch: 66, val loss: 0.17150560133306406
time: 68.88024258799851, epoch: 67, val loss: 0.15455698919861685
time: 69.97842167504132, epoch: 68, val loss: 0.1544303365140093
time: 70.97458677692339, epoch: 69, val loss: 0.154634034121225
time: 71.96813743188977, epoch: 70, val loss: 0.18109863307400653
time: 72.9617671649903, epoch: 71, val loss: 0.15452800529158633
time: 73.95688351197168, epoch: 72, val loss: 0.15649240016348276
time: 75.04127043904737, epoch: 73, val loss: 0.15489963830813117
time: 76.03676475491375, epoch: 74, val loss: 0.1720419241623445
time: 77.03106316993944, epoch: 75, val loss: 0.1556354745810211
time: 78.02420800505206, epoch: 76, val loss: 0.15717058307804138
time: 79.02631346206181, epoch: 77, val loss: 0.15587317554847055
time: 80.02061338094063, epoch: 78, val loss: 0.15462616580748276
time: 81.01618640311062, epoch: 79, val loss: 0.15984786287126804
time: 82.10963185504079, epoch: 80, val loss: 0.15859948634630136
time: 83.1045839348808, epoch: 81, val loss: 0.15907164253736203
time: 84.0992031309288, epoch: 82, val loss: 0.15458252631392874
time: 85.09395600808784, epoch: 83, val loss: 0.1557758106544555
time: 86.08950209990144, epoch: 84, val loss: 0.15481708360754926
time: 87.168882350903, epoch: 85, val loss: 0.15456068857385236
time: 88.17080638790503, epoch: 86, val loss: 0.16082144996865463
time: 89.16493398300372, epoch: 87, val loss: 0.15567730408412195
time: 90.16073960089125, epoch: 88, val loss: 0.1553308998525378
time: 91.15432611410506, epoch: 89, val loss: 0.16540237495550525
time: 92.14963240688667, epoch: 90, val loss: 0.1544890005597955
time: 93.1448721550405, epoch: 91, val loss: 0.1544732156949552
time: 94.24164527002722, epoch: 92, val loss: 0.1544309285554019
time: 95.23622074397281, epoch: 93, val loss: 0.15469204690381
time: 96.23049013502896, epoch: 94, val loss: 0.15532076417693036
time: 97.22502000397071, epoch: 95, val loss: 0.16812008295370184
time: 98.22135246894322, epoch: 96, val loss: 0.15515463325110349
time: 99.30388298002072, epoch: 97, val loss: 0.15751780958279318
time: 100.29855113802478, epoch: 98, val loss: 0.15589846847321204
time: 101.29246665607207, epoch: 99, val loss: 0.15514035349189056
time: 102.28665483510122, epoch: 100, val loss: 0.15564550441715558
time: 103.29137119208463, epoch: 101, val loss: 0.15892562541094693
time: 104.2888770441059, epoch: 102, val loss: 0.15677375037208377
time: 105.28527458105236, epoch: 103, val loss: 0.1570804582636347
